timestamp,level,source,message,error
2025-11-07T16:53:47,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-07T16:53:48,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-07T16:53:49,INFO,update_data_api_fudo,Actualizando catálogo de productos,
2025-11-07T16:53:49,INFO,update_data_api_fudo,[Arguibel] Actualizando catálogo de productos,
2025-11-07T16:53:49,INFO,update_data_api_fudo,[Polo] Actualizando catálogo de productos,
2025-11-07T16:53:50,INFO,update_data_api_fudo,Catálogo actualizado: 532 productos totales,
2025-11-07T16:56:47,INFO,main,Pipeline start,
2025-11-07T16:56:57,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-07T16:56:57,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 868,
2025-11-07T16:56:57,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1645,
2025-11-07T16:57:02,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-07T16:57:04,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-07T16:57:05,INFO,update_data_api_fudo,Actualizando catálogo de productos,
2025-11-07T16:57:05,INFO,update_data_api_fudo,[Arguibel] Actualizando catálogo de productos,
2025-11-07T16:57:05,INFO,update_data_api_fudo,[Polo] Actualizando catálogo de productos,
2025-11-07T16:57:06,INFO,update_data_api_fudo,Catálogo actualizado: 548 productos totales,
2025-11-07T16:57:06,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 21, 'items_added': 27, 'productos_added': 274}",
2025-11-07T16:57:06,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-07T16:57:06,INFO,process_data,Guardando dataframes en excel,
2025-11-07T16:58:54,INFO,process_data,"Processing completed: {'ventas_rows': 3528, 'items_rows': 18382, 'permanencia_rows': 85, 'generated': ['procesado/items.xlsx', 'procesado/ventas.xlsx', 'procesado/permanencia.xlsx']}",
2025-11-07T16:58:54,INFO,main,Pipeline finished in 127.7s,
2025-11-10T09:59:58,INFO,main,Pipeline start,
2025-11-10T10:00:03,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-10T10:00:03,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 868,
2025-11-10T10:00:07,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1645,
2025-11-10T10:00:21,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-10T10:00:22,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-10T10:00:23,INFO,update_data_api_fudo,Actualizando catálogo de productos,
2025-11-10T10:00:24,INFO,update_data_api_fudo,[Arguibel] Actualizando catálogo de productos,
2025-11-10T10:00:25,INFO,update_data_api_fudo,[Polo] Actualizando catálogo de productos,
2025-11-10T10:00:25,INFO,update_data_api_fudo,Catálogo actualizado: 548 productos totales,
2025-11-10T10:00:25,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 56, 'items_added': 82, 'productos_added': 274}",
2025-11-10T10:00:25,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-10T10:00:25,INFO,process_data,Guardando dataframes en excel,
2025-11-10T10:02:24,INFO,process_data,"Processing completed: {'ventas_rows': 3563, 'items_rows': 18546, 'permanencia_rows': 85, 'generated': ['procesado/items.xlsx', 'procesado/ventas.xlsx', 'procesado/permanencia.xlsx']}",
2025-11-10T10:02:24,INFO,main,Pipeline finished in 146.5s,
